City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Obo,5.4,26.49,69.37,92,62,2.06,CF,2020-10-16 19:42:20
174,Sabha,27.04,14.43,85.08,14,12,13.8,LY,2020-10-16 19:42:20
175,Villamontes,-21.25,-63.5,89.6,52,20,5.82,BO,2020-10-16 19:42:20
176,Murgab,37.5,61.97,57.2,41,0,4.7,TM,2020-10-16 19:42:20
177,Bukoba,-1.33,31.81,69.8,88,0,2.15,TZ,2020-10-16 19:42:20
178,Kamenka,51.32,42.77,57.99,79,99,7.99,RU,2020-10-16 19:42:20
179,Korla,41.76,86.15,45.32,53,0,1.05,CN,2020-10-16 19:40:09
180,Baykalsk,51.51,104.15,35.85,80,85,4.81,RU,2020-10-16 19:43:26
181,Kokopo,-4.35,152.26,76.14,84,100,3.83,PG,2020-10-16 19:43:26
182,Lazaro Cardenas,17.96,-102.2,87.49,67,8,7.61,MX,2020-10-16 19:43:26
183,Morondava,-20.28,44.28,76.01,73,0,12.44,MG,2020-10-16 19:43:26
184,The Valley,18.22,-63.06,84.2,94,40,10.29,AI,2020-10-16 19:43:26
185,Tucuman,-26.82,-65.22,87.8,38,75,10.29,AR,2020-10-16 19:43:26
186,Sennoy,52.15,46.96,61.34,53,94,15.73,RU,2020-10-16 19:43:27
187,Khatanga,71.97,102.5,-1.8,90,0,5.23,RU,2020-10-16 19:43:27
188,Cabo San Lucas,22.89,-109.91,91.4,52,5,3.36,MX,2020-10-16 19:40:10
189,Sao Gabriel Da Cachoeira,-0.13,-67.09,91.6,52,92,3.6,BR,2020-10-16 19:43:27
190,Calvinia,-31.47,19.78,72.3,25,0,4.74,ZA,2020-10-16 19:43:27
191,Lorengau,-2.02,147.27,81.25,74,100,6.35,PG,2020-10-16 19:43:27
192,Kaeo,-35.1,173.78,50.0,92,16,2.3,NZ,2020-10-16 19:43:28
193,Ipixuna,-1.76,-48.8,86.0,70,40,12.75,BR,2020-10-16 19:43:28
194,Guerrero Negro,27.98,-114.06,83.7,42,91,13.13,MX,2020-10-16 19:43:28
195,Lompoc,34.64,-120.46,93.99,22,1,4.7,US,2020-10-16 19:43:28
196,La Sarre,48.8,-79.2,41.56,63,0,7.92,CA,2020-10-16 19:42:53
197,Lagoa,39.05,-27.98,64.0,67,100,6.71,PT,2020-10-16 19:43:28
198,Kieta,-6.22,155.63,80.02,72,50,1.81,PG,2020-10-16 19:43:28
199,Malindi,-3.22,40.12,78.49,81,1,15.55,KE,2020-10-16 19:43:29
200,Helong,42.54,129.0,33.71,86,0,6.06,CN,2020-10-16 19:43:29
201,Jalalpur,32.64,74.22,71.6,56,0,3.51,PK,2020-10-16 19:43:29
202,Shelburne,44.08,-80.2,53.01,34,40,8.05,CA,2020-10-16 19:43:29
203,Sosua,19.77,-70.52,89.01,74,40,16.11,DO,2020-10-16 19:43:29
204,Quatre Cocos,-20.21,57.76,71.01,88,20,4.7,MU,2020-10-16 19:43:29
205,Grand-Santi,4.25,-54.38,97.12,23,0,3.87,GF,2020-10-16 19:43:30
206,Jimma,7.67,36.83,58.89,86,90,2.13,ET,2020-10-16 19:43:30
207,Rio Grande,-32.03,-52.1,64.96,77,59,16.37,BR,2020-10-16 19:41:49
208,Isla Mujeres,21.23,-86.73,80.6,78,75,6.93,MX,2020-10-16 19:43:30
209,Luwuk,-0.95,122.79,78.3,77,100,2.48,ID,2020-10-16 19:43:30
210,Samarai,-10.62,150.67,78.15,86,50,12.64,PG,2020-10-16 19:43:30
211,Vanavara,60.34,102.28,25.72,96,100,9.35,RU,2020-10-16 19:43:30
212,Rock Springs,41.59,-109.2,53.6,23,1,25.28,US,2020-10-16 19:43:31
213,Karratha,-20.74,116.85,65.7,71,0,12.57,AU,2020-10-16 19:40:41
214,Mitsamiouli,-11.38,43.28,78.82,71,9,2.46,KM,2020-10-16 19:43:31
215,Freeport,40.66,-73.58,53.6,93,90,6.93,US,2020-10-16 19:42:34
216,Mutuipe,-13.23,-39.5,79.12,60,0,8.14,BR,2020-10-16 19:43:31
217,Bambous Virieux,-20.34,57.76,71.01,88,20,4.7,MU,2020-10-16 19:39:14
218,Mayumba,-3.43,10.66,76.6,85,85,5.5,GA,2020-10-16 19:43:31
219,Narsaq,60.92,-46.05,44.6,80,75,4.7,GL,2020-10-16 19:43:31
220,Alyangula,-13.85,136.42,69.8,100,13,4.59,AU,2020-10-16 19:43:31
221,Aklavik,68.22,-135.01,23.0,62,75,10.29,CA,2020-10-16 19:43:32
222,Farmington,36.73,-108.22,66.0,12,1,3.36,US,2020-10-16 19:40:03
223,Laguna,38.42,-121.42,89.01,17,1,9.17,US,2020-10-16 19:43:32
224,Cambridge,43.36,-80.31,50.0,42,40,10.29,CA,2020-10-16 19:41:44
225,Flinders,-34.58,150.86,60.01,84,100,3.0,AU,2020-10-16 19:43:32
226,Maceio,-9.67,-35.74,80.6,74,40,13.87,BR,2020-10-16 19:40:26
227,Lukulu,-14.37,23.24,76.21,33,0,6.64,ZM,2020-10-16 19:44:37
228,Mangalagiri,16.43,80.55,78.12,86,89,2.15,IN,2020-10-16 19:44:38
229,Coahuayana,18.73,-103.68,86.0,66,40,6.93,MX,2020-10-16 19:44:38
230,Vostok,46.49,135.88,27.46,93,54,5.3,RU,2020-10-16 19:44:38
231,Sur,22.57,59.53,78.42,50,0,9.51,OM,2020-10-16 19:44:38
232,Esperance,-33.87,121.9,46.4,100,23,3.36,AU,2020-10-16 19:44:38
233,Luderitz,-26.65,15.16,66.24,56,0,15.28,NA,2020-10-16 19:44:38
234,Suntar,62.14,117.63,22.77,94,89,8.28,RU,2020-10-16 19:44:38
235,Bella Union,-30.28,-57.6,81.36,54,0,7.76,UY,2020-10-16 19:44:39
236,Ibra,22.69,58.53,68.61,23,3,5.7,OM,2020-10-16 19:44:39
237,Lebu,-37.62,-73.65,57.72,75,2,5.75,CL,2020-10-16 19:44:39
238,Khorixas,-20.37,14.97,67.87,54,39,6.78,NA,2020-10-16 19:44:39
239,Lethem,3.38,-59.8,94.06,40,86,3.74,GY,2020-10-16 19:44:39
240,Mayo,38.89,-76.51,55.99,87,90,12.28,US,2020-10-16 19:44:39
241,Vila Do Maio,15.13,-23.22,82.4,78,100,2.24,CV,2020-10-16 19:44:39
242,Inyonga,-6.72,32.07,72.68,53,0,2.1,TZ,2020-10-16 19:44:40
243,Am Timan,11.03,20.28,77.49,78,1,6.4,TD,2020-10-16 19:44:40
244,Puerto Castilla,16.02,-85.97,86.0,74,75,17.22,HN,2020-10-16 19:44:40
245,Airai,-8.93,125.41,59.94,70,57,2.13,TL,2020-10-16 19:44:40
246,Lincoln,40.8,-96.67,60.01,28,40,12.75,US,2020-10-16 19:41:06
