City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Dhupgari,IN,75.4,Clear,26.59,89.01,Biva Lodge
161,Pasir Mas,MY,77.0,Clouds,6.05,102.14,Sri Delima Guest House
165,Port Keats,AU,83.39,Clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
168,Port-Gentil,GA,78.8,Clouds,-0.72,8.78,Fengshui Residence
169,Esna,EG,84.2,Clear,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
173,Biak,ID,76.23,Clouds,-0.91,122.88,Kost Ariz
176,Mahibadhoo,MV,82.2,Clouds,3.78,72.97,Omadhoo Inn
177,Salinopolis,BR,80.44,Clouds,-0.61,-47.36,Hotel Salinópolis
183,Adrar,MR,88.2,Clear,20.5,-10.07,
186,Hilo,US,78.8,Rain,19.73,-155.09,Hilo Hawaiian Hotel
188,Petatlan,MX,89.6,Clouds,17.52,-101.27,Hotel California Petatlán
191,Alofi,NU,75.2,Rain,-19.06,-169.92,Taloa Heights
192,Ransang,PH,80.82,Clouds,8.96,117.58,
193,Honiara,SB,78.8,Clouds,-9.43,159.95,Heritage Park Hotel
196,Saint George,US,87.01,Clear,37.1,-113.58,Best Western Plus Abbey Inn
204,Bonthe,SL,78.53,Clouds,7.53,-12.51,Bonthe Holiday Village
207,San Patricio,US,89.6,Clouds,28.02,-97.52,"Motel 6 Sinton, TX"
